"PARTNUMBER","HOSTLOCID","ERDAT","KWMENG"
"0AM300066C 009","8013","201606","4.888889"
"0AM300066C 009","8013","201702","4.088235"
"0AM300066C 009","8013","201811","8.5"
"0AM300066C 009","8013","201901","7.246667"
"0AM300066C 009","8013","201904","6.556667"
"0AM300066C 009","8013","202003","3.5"
"0AM300066C 009","8013","202007","4.246667"
"0AM300066C 009","8013","202101","0.590425"
"0AM300066C 009","8013","202108","1.654397"
"0AM300066C 009","8013","202204","0.518636"
"0AM300066C 009","8015","201603","0.52381"
"0AM300066C 009","8015","201609","2.054545"
"0AM300066C 009","8015","202003","0.797134"
"0AM300066C 009","8015","202006","2.444214"
"0AM300066C 009","8015","202009","1.311941"
"0AM300066C 009","8015","202012","0.797294"
"0AM300066C 009","8015","202102","1.383333"
"0AM300066C 009","8021","201605","15.488889"
"0AM300066C 009","8021","201612","21.553"
"0AM300066C 009","8021","201703","18.493119"
"0AM300066C 009","8021","201705","16.30303"
"0AM300066C 009","8021","201707","14.67029"
"0AM300066C 009","8021","201708","14.766667"
"0AM300066C 009","8021","201711","16.125323"
"0AM300066C 009","8021","201811","14.5"
"0AM300066C 009","8021","201906","6.082421"
"0AM300066C 009","8021","202005","1.113873"
"0AM300066C 009","8021","202006","2.268333"
"0AM300066C 009","8021","202109","2.620396"
"0AM300066C 009","8022","201605","3.2"
"0AM300066C 009","8022","201607","3.272727"
"0AM300066C 009","8022","201610","4.647619"
"0AM300066C 009","8022","201709","5.333333"
"0AM300066C 009","8022","201802","8.73511"
"0AM300066C 009","8022","201904","6.084746"
"0AM300066C 009","8022","202006","1.323333"
"0AM300066C 009","8022","202012","0.463333"
"0AM300066C 009","8022","202104","0.333333"
"0AM300066C 009","8023","201604","7.321429"
"0AM300066C 009","8023","201608","7.230769"
"0AM300066C 009","8023","201807","6.77"
"0AM300066C 009","8023","201908","5.243333"
"0AM300066C 009","8023","201909","4.866667"
"0AM300066C 009","8023","202004","3.773333"
"0AM300066C 009","8023","202112","1.5"
"0AM300066C 009","8025","201605","2.107143"
"0AM300066C 009","8025","201708","2.163075"
"0AM300066C 009","8025","201709","2.5594"
"0AM300066C 009","8025","201903","3.825863"
"0AM300066C 009","8025","201906","2.7307"
"0AM300066C 009","8025","201910","0"
"0AM300066C 009","8031","201606","7.418182"
"0AM300066C 009","8031","201607","8.848485"
"0AM300066C 009","8031","201710","7.913451"
"0AM300066C 009","8031","201804","5.75"
"0AM300066C 009","8031","201807","7.75"
"0AM300066C 009","8031","201810","9.5"
"0AM300066C 009","8031","202003","0"
"0AM300066C 009","8031","202007","0"
"0AM300066C 009","8031","202012","0"
"0AM300066C 009","8031","202101","0"
"0AM300066C 009","8031","202206","0"
"0AM300066C 009","8031","202304","0"
"0AM300066C 009","8031","202312","0"
"0AM300066C 009","8031","202402","0"
"0AM300066C 009","8031","202408","0"
"0AM300066C 009","8031","202409","0"
"0AM300066C 009","8031","202410","0"
"0AM300066C 009","5002","201907","5.110169"
"0AM300066C 009","5002","202006","2.613333"
"0AM300066C 009","5002","202104","1.423333"
"0AM300066C 009","5002","202105","1.306667"
"0AM300066C 009","5002","202108","1.15"
"0AM300066C 009","5002","202205","0.81"
"0B5300062G 001","1000-3","201808","0.803628"
"0B5300062G 001","1000-3","201911","1.035333"
"0B5300062G 001","1000-3","202409","0.02"
"0D9300043  008","1000-1","202104","3.955478"
"0D9300043  008","1000-1","202108","2.862323"
"0D9300043  008","1000-1","202109","3.782656"
"0D9300043  008","1000-1","202201","3.493501"
"0D9300043  008","1000-1","202207","2.862637"
"0D9300043  008","1000-1","202208","2.761307"
"0D9300043  008","1000-1","202303","1.733333"
"0D9300043  008","1000-1","202409","0.563333"
"0D9300043  008","3001","201902","0.333333"
"0D9300043  008","3001","201903","0.166667"
"0DE300040R 00D","1000-1","202205","2.822581"
"0DE300040R 00D","1000-1","202207","0.66683"
"0DE300040R 00D","1000-1","202306","1.68"
"0DE300040R 00D","1000-1","202309","1.076667"
"0DE300040R 00D","1000-1","202310","0.926667"
"0DE300040R 00D","1000-1","202311","0.943333"
"0DE300040R 00D","3001","201708","2.333333"
"0DE300040R 00D","3001","201802","1.75"
"0DE300040R 00D","3001","201810","2.5"
"0DE300040R 00D","3001","201907","1"
"0DE300040R 00D","3001","202006","1.166667"
"0DE300040R 00D","3001","202007","0.333333"
"0DE300040R 00D","3001","202008","0.666667"
